154;Kind;child;2021-12-30;Reading corner|Unit 2|Kl. 6
155;Vormittags;a.m.;2021-12-30;Reading corner|Unit 2|Kl. 6
156;Nachmittags;p.m.;2021-12-30;Reading corner|Unit 2|Kl. 6
157;Theater;theatre;2021-12-30;Reading corner|Unit 2|Kl. 6
158;Anmeldung;registration;2021-12-30;Reading corner|Unit 2|Kl. 6
159;Chance|Gelegenheit;chance;2021-12-30;Reading corner|Unit 2|Kl. 6
160;wenn|falls;if;2021-12-30;Reading corner|Unit 2|Kl. 6
161;verpassen;miss;2021-12-30;Reading corner|Unit 2|Kl. 6
162;Minute;minute;2021-12-30;Reading corner|Unit 2|Kl. 6
163;feststecken;be stuck;2021-12-30;Reading corner|Unit 2|Kl. 6
164;hinter;behind;2021-12-30;Reading corner|Unit 2|Kl. 6
165;Sofa;sofa;2021-12-30;Reading corner|Unit 2|Kl. 6
166;sich beeilen;hurry;2021-12-30;Reading corner|Unit 2|Kl. 6
167;nach;past;2021-12-30;Reading corner|Unit 2|Kl. 6
168;Dame|Frau;lady;2021-12-30;Reading corner|Unit 2|Kl. 6
169;zu;too;2021-12-30;Reading corner|Unit 2|Kl. 6
170;Es ist meine Schuld.;It´s my fault.;2021-12-30;Reading corner|Unit 2|Kl. 6
171;hineingehen;go on;2021-12-30;Reading corner|Unit 2|Kl. 6
172;Juror|Jurorin;judge;2021-12-30;Reading corner|Unit 2|Kl. 6
173;Gang|Flur;corridor;2021-12-30;Reading corner|Unit 2|Kl. 6
174;drinnen;in;2021-12-30;Reading corner|Unit 2|Kl. 6
175;wie viele;how many;2021-12-31;Station 2|Unit 2|Kl. 6
176;spielen;act;2021-12-31;Station 2|Unit 2|Kl. 6
177;jemals;ever;2021-12-31;Station 2|Unit 2|Kl. 6
178;nervös|aufgeregt;nervous;2021-12-31;Station 2|Unit 2|Kl. 6
179;verlegen;emberrassed;2021-12-31;Station 2|Unit 2|Kl. 6
180;jung;young;2021-12-31;Station 2|Unit 2|Kl. 6
181;Warst du schon in ...?;Have you ever been to ...?;2021-12-31;Station 2|Unit 2|Kl. 6
182;Seid ihr schon fertig?;Have you finished jet?;2021-12-31;Station 2|Unit 2|Kl. 6
183;schon;jet;2021-12-31;Station 2|Unit 2|Kl. 6
184;welche;wich;2021-12-31;Station 2|Unit 2|Kl. 6
185;Oma;grandma;2021-12-31;Station 2|Unit 2|Kl. 6
186;Italien;Italy;2021-12-31;Station 2|Unit 2|Kl. 6
187;Spanien;Spain;2021-12-31;Station 2|Unit 2|Kl. 6
188;Turkei;Turkey;2021-12-31;Station 2|Unit 2|Kl. 6
189;würde(n);would;2021-12-31;Station 2|Unit 2|Kl. 6
190;welche;what;2021-12-31;Station 2|Unit 2|Kl. 6
191;unglaublich|toll|erstaunlich;amazing;2021-12-31;Station 2|Unit 2|Kl. 6
192;ein anderer|noch ein;another;2021-12-31;Station 2|Unit 2|Kl. 6
193;würde(n) gern|hätte(n) gern;would like;2021-12-31;Station 2|Unit 2|Kl. 6
194;Regisseur|Regisseurin;director;2021-12-31;Jobs|Unit 2|Kl. 6
195;Friseur|Friseurin;hairdresser;2021-12-31;Jobs|Unit 2|Kl. 6
196;Ingenieuer|Ingenieuerin|Techniker|Technikerin;engineer;2021-12-31;Jobs|Unit 2|Kl. 6
197;Kellner;waiter;2021-12-31;Jobs|Unit 2|Kl. 6
198;Arzt|Ärztin;doctor;2021-12-31;Jobs|Unit 2|Kl. 6
199;Krankenschwester, -pfleger;nurse;2021-12-31;Jobs|Unit 2|Kl. 6
200;LKW-Fahrer|LKW-Fahrerin;lorry driver;2021-12-31;Jobs|Unit 2|Kl. 6
201;Bauarbeiter|Bauarbeiterin;buildner;2021-12-31;Jobs|Unit 2|Kl. 6
202;Verkäufer|Verkäuferin;shop assistent;2021-12-31;Jobs|Unit 2|Kl. 6
203;Koch|Köchin;chef;2021-12-31;Jobs|Unit 2|Kl. 6
204;Tierarzt|Tierärztin;vet;2021-12-31;Jobs|Unit 2|Kl. 6
205;Einkäufe machen|Besorgungen machen;do the shopping;2021-12-31;Jobs around the house|Unit 2|Kl. 6
206;den Müll rausbringen;take the rubbish out;2021-12-31;Jobs around the house|Unit 2|Kl. 6
207;dein Schlafzimmer aufräumen;tidy (up) your bedroom;2021-12-31;Jobs around the house|Unit 2|Kl. 6
208;deine Fußballschuhe putzen;clean your Football boots;2021-12-31;Jobs around the house|Unit 2|Kl. 6
209;den Fußboden fegen;sweep the floor;2021-12-31;Jobs around the house|Unit 2|Kl. 6
210;den Tisch decken;lay the table;2021-12-31;Jobs around the house|Unit 2|Kl. 6
211;abspülen;do the washing up;2021-12-31;Jobs around the house|Unit 2|Kl. 6
212;die Flaschen zum Altglascontainer bringen;take bottles to the bottle bank;2021-12-31;Jobs around the house|Unit 2|Kl. 6
213;den Tisch abräumen;clear the table;2021-12-31;Jobs around the house|Unit 2|Kl. 6
214;mein Schlafzimmer staubsaugen;hoover my bedroom;2021-12-31;Jobs around the house|Unit 2|Kl. 6
215;Schauspieler|Schauspielerin;actor;2021-12-31;Station 1|Unit 2|Kl. 6
216;Arbeit|Beruf;job;2021-12-31;Station 1|Unit 2|Kl. 6
217;gerade (eben)|soeben;just;2021-12-31;Station 1|Unit 2|Kl. 6
218;ankommen;arrive;2021-12-31;Station 1|Unit 2|Kl. 6
219;Flug;flight;2021-12-31;Station 1|Unit 2|Kl. 6
220;schon|bereits;already;2021-12-31;Station 1|Unit 2|Kl. 6
221;fertigstellen|vervollständigen;finish;2021-12-31;Station 1|Unit 2|Kl. 6
222;Liste;list;2021-12-31;Station 1|Unit 2|Kl. 6
223;warten;wait;2021-12-31;Station 1|Unit 2|Kl. 6
224;noch nicht;not ... yet;2021-12-31;Station 1|Unit 2|Kl. 6
225;Supermarkt;supermarket;2021-12-31;Station 1|Unit 2|Kl. 6
226;morgen;2moro (tomorow);2021-12-31;Station 1|Unit 2|Kl. 6
227;lernen;learn;2021-12-31;Station 1|Unit 2|Kl. 6
228;Text;lines;2021-12-31;Station 1|Unit 2|Kl. 6
229;Interview|Befragung;interview;2021-12-31;Station 1|Unit 2|Kl. 6
